,denominador,numerador,Frequência,P-value,Qtd_1_Denom,Qtd_0_Demon,D0N0,D0N1,D1N0,D1N1
1,Fuma,Fuma,1,2.09E-45,46,154,154,0,0,46
2,Cirurgia na coluna,Fuma,0.314285714,0.000756144,70,108,96,12,48,22
4,Desempregado,Fuma,0.392857143,0.045173575,28,157,123,34,17,11
5,Licenca_Medica,Fuma,0.5,0.006774555,18,169,133,36,9,9
6,Aposentado_Invalidez,Fuma,0.625,0.00961679,8,174,135,39,3,5
10,Dor nas pernas,Fuma,0.344262295,0.040518281,61,122,97,25,40,21
14,Casado/Amasiaado,Fuma,0.142857143,0.006273695,84,109,75,34,72,12
17,X4,Fuma,1,0.001804648,3,190,147,43,0,3
24,D15,Fuma,1,0.002322567,5,123,82,41,0,5
27,D18,Fuma,0.642857143,0.019158686,14,114,77,37,5,9
29,D2,Fuma,1,9.61E-05,8,120,82,38,0,8
45,D34,Fuma,1,0.019277409,3,125,82,43,0,3
49,D38,Fuma,1,0.019277409,3,125,82,43,0,3
51,D4,Fuma,1,0.006667415,4,124,82,42,0,4
52,D40,Fuma,1,0.006667415,4,124,82,42,0,4
62,D5,Fuma,1,0.019277409,3,125,82,43,0,3
74,RMDQ7_v1,Fuma,0.342857143,0.015589297,35,148,124,24,23,12
75,RMDQ8_v1,Fuma,0.5,0.027338121,8,175,143,32,4,4
76,RMDQ9_v1,Fuma,0.333333333,0.039533218,30,153,127,26,20,10
87,RMDQ20_v1,Fuma,0.34375,0.021260536,32,151,126,25,21,11
91,RMDQ24_v1,Fuma,0.35483871,0.01509902,31,152,127,25,20,11
96,DN4 - Alfinetada e agulhada,Fuma,0.320754717,0.018814926,53,133,111,22,36,17
98,DN4 - Coceira,Fuma,0.5,0.039205208,8,178,143,35,4,4
99,DH4 - Hipoestesia ao toque,Fuma,0.571428571,0.016544161,7,179,144,35,3,4
100,DN4 - Hipoestesia a picada de agulha,Fuma,0.625,0.003179349,8,178,144,34,3,5
101,DN4 - Escovação,Fuma,0.666666667,0.005185635,6,180,145,35,2,4
102,Fuma,Cirurgia na coluna,0.647058824,0.000756144,34,144,96,48,12,22
103,Cirurgia na coluna,Cirurgia na coluna,1,3.04E-48,79,134,134,0,0,79
104,Aposentado,Cirurgia na coluna,0.606060606,0.005264365,33,151,99,52,13,20
105,Desempregado,Cirurgia na coluna,0.625,0.015653846,24,156,99,57,9,15
106,Licenca_Medica,Cirurgia na coluna,0.769230769,0.004250124,13,169,107,62,3,10
111,Dor nas pernas,Cirurgia na coluna,0.555555556,0.003576257,54,132,89,43,24,30
125,D15,Cirurgia na coluna,1,0.014463327,5,113,63,50,0,5
132,D21,Cirurgia na coluna,0,0.03276102,5,113,58,55,5,0
148,D36,Cirurgia na coluna,1,0.007126089,6,112,63,49,0,6
153,D40,Cirurgia na coluna,1,0.029424848,4,114,63,51,0,4
204,Cirurgia na coluna,Aposentado,0.277777778,0.005264365,72,112,99,13,52,20
205,Aposentado,Aposentado,1,1.26E-45,37,164,164,0,0,37
206,Desempregado,Aposentado,0.366666667,0.004636515,30,167,142,25,19,11
210,OutraDoenca,Aposentado,0.267605634,0.035879052,71,124,106,18,52,19
213,Retornar_trabalho,Aposentado,0.619047619,5.70E-09,21,155,138,17,8,13
217,Solteiro,Aposentado,0.111111111,0.03547402,81,109,84,25,72,9
221,X6,Aposentado,0.636363636,4.55E-05,11,179,152,27,4,7
227,D16,Aposentado,0.45,0.013733293,20,112,90,22,11,9
243,Lombalgia,Aposentado_Invalidez,0.114754098,0.016601391,61,70,69,1,54,7
250,D37,Aposentado,0.409090909,0.034688805,22,110,88,22,13,9
252,D39,Aposentado,0.466666667,0.024469658,15,117,93,24,8,7
262,D48,Aposentado,0.384615385,0.044395495,26,106,85,21,16,10
273,RMDQ4_v1,Aposentado,0.28,0.042074684,50,134,114,20,36,14
300,DN4 - Coceira,Aposentado,0.5,0.035505939,6,180,150,30,3,3
304,Fuma,Desempregado,0.244444444,0.045173575,45,140,123,17,34,11
305,Cirurgia na coluna,Desempregado,0.208333333,0.015653846,72,108,99,9,57,15
306,Aposentado,Desempregado,0.305555556,0.004636515,36,161,142,19,25,11
307,Desempregado,Desempregado,1,9.43E-45,30,167,167,0,0,30
308,Licenca_Medica,Desempregado,0.421052632,0.000639853,19,177,155,22,11,8
312,Dor nas costas,Desempregado,0.234782609,0.000319402,115,75,72,3,88,27
314,Retornar_trabalho,Desempregado,0.368421053,0.004801335,19,154,135,19,12,7
346,D32,Desempregado,0.081081081,0.042393405,37,93,71,22,34,3
348,D34,Desempregado,0.666666667,0.03492795,3,127,104,23,1,2
349,D35,Desempregado,1,0.003490999,2,128,105,23,0,2
354,D4,Desempregado,0.75,0.004044351,4,126,104,22,1,3
359,D44,Desempregado,0.078947368,0.03505672,38,92,70,22,35,3
365,D5,Desempregado,0.666666667,0.03492795,3,127,104,23,1,2
367,D51,Desempregado,1,0.039655629,1,129,105,24,0,1
370,D9,Desempregado,1,0.039655629,1,129,105,24,0,1
402,DH4 - Hipoestesia ao toque,Desempregado,0.6,0.00294161,5,178,155,23,2,3
403,DN4 - Hipoestesia a picada de agulha,Desempregado,0.5,0.010667604,6,177,154,23,3,3
404,DN4 - Escovação,Desempregado,0.75,0.000429574,4,179,156,23,1,3
405,Fuma,Licenca_Medica,0.2,0.006774555,45,142,133,9,36,9
406,Cirurgia na coluna,Licenca_Medica,0.138888889,0.004250124,72,110,107,3,62,10
408,Desempregado,Licenca_Medica,0.266666667,0.000639853,30,166,155,11,22,8
409,Licenca_Medica,Licenca_Medica,1,3.45E-45,19,180,180,0,0,19
410,Aposentado_Invalidez,Licenca_Medica,0.375,0.005305892,8,184,169,15,5,3
413,Dor nas costas,Licenca_Medica,0.137931034,0.027224233,116,75,72,3,100,16
414,Dor nas pernas,Licenca_Medica,0.2,0.001925592,60,129,122,7,48,12
